USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 185328  3600 ?        Ss   1月05   0:10 /sbin/init splash
root          2  0.0  0.0      0     0 ?        S    1月05   0:00 [kthreadd]
root          4  0.0  0.0      0     0 ?        S<   1月05   0:00 [kworker/0:0H]
root          6  0.0  0.0      0     0 ?        S    1月05   0:02 [ksoftirqd/0]
root          7  0.1  0.0      0     0 ?        S    1月05   3:22 [rcu_sched]
root          8  0.0  0.0      0     0 ?        S    1月05   0:00 [rcu_bh]
root          9  0.0  0.0      0     0 ?        S    1月05   0:00 [migration/0]
root         10  0.0  0.0      0     0 ?        S<   1月05   0:00 [lru-add-drain]
root         11  0.0  0.0      0     0 ?        S    1月05   0:01 [watchdog/0]
root         12  0.0  0.0      0     0 ?        S    1月05   0:00 [cpuhp/0]
root         13  0.0  0.0      0     0 ?        S    1月05   0:00 [cpuhp/1]
root         14  0.0  0.0      0     0 ?        S    1月05   0:02 [watchdog/1]
root         15  0.0  0.0      0     0 ?        S    1月05   0:00 [migration/1]
root         16  0.0  0.0      0     0 ?        S    1月05   0:24 [ksoftirqd/1]
root         18  0.0  0.0      0     0 ?        S<   1月05   0:00 [kworker/1:0H]
root         19  0.0  0.0      0     0 ?        S    1月05   0:00 [kdevtmpfs]
root         20  0.0  0.0      0     0 ?        S<   1月05   0:00 [netns]
root         22  0.0  0.0      0     0 ?        S    1月05   0:00 [khungtaskd]
root         23  0.0  0.0      0     0 ?        S    1月05   0:00 [oom_reaper]
root         24  0.0  0.0      0     0 ?        S<   1月05   0:00 [writeback]
root         25  0.0  0.0      0     0 ?        S    1月05   0:00 [kcompactd0]
root         26  0.0  0.0      0     0 ?        SN   1月05   0:00 [ksmd]
root         27  0.0  0.0      0     0 ?        SN   1月05   0:13 [khugepaged]
root         28  0.0  0.0      0     0 ?        S<   1月05   0:00 [crypto]
root         29  0.0  0.0      0     0 ?        S<   1月05   0:00 [kintegrityd]
root         30  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         31  0.0  0.0      0     0 ?        S<   1月05   0:00 [kblockd]
root         32  0.0  0.0      0     0 ?        S<   1月05   0:00 [ata_sff]
root         33  0.0  0.0      0     0 ?        S<   1月05   0:00 [md]
root         34  0.0  0.0      0     0 ?        S<   1月05   0:00 [devfreq_wq]
root         35  0.0  0.0      0     0 ?        S<   1月05   0:00 [watchdogd]
root         39  0.0  0.0      0     0 ?        S    1月05   0:00 [kauditd]
root         40  0.0  0.0      0     0 ?        S    1月05   0:16 [kswapd0]
root         41  0.0  0.0      0     0 ?        S<   1月05   0:00 [vmstat]
root         42  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         43  0.0  0.0      0     0 ?        S    1月05   0:00 [ecryptfs-kthrea]
root         83  0.0  0.0      0     0 ?        S<   1月05   0:00 [kthrotld]
root         84  0.0  0.0      0     0 ?        S<   1月05   0:00 [acpi_thermal_pm]
root         85  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         86  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         87  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         88  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         89  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         90  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         91  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         92  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root         93  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_0]
root         94  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_0]
root         95  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_1]
root         96  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_1]
root        102  0.0  0.0      0     0 ?        S<   1月05   0:00 [ipv6_addrconf]
root        123  0.0  0.0      0     0 ?        S<   1月05   0:00 [charger_manager]
root        169  0.0  0.0      0     0 ?        S<   1月05   0:00 [mpt_poll_0]
root        170  0.0  0.0      0     0 ?        S<   1月05   0:00 [mpt/0]
root        171  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_2]
root        172  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_2]
root        173  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_3]
root        174  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_3]
root        175  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_4]
root        176  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_4]
root        177  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_5]
root        178  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_5]
root        179  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_6]
root        180  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_6]
root        181  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_7]
root        182  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_7]
root        183  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_8]
root        184  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_8]
root        185  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_9]
root        186  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_9]
